Category,Abstract,Title,Reference Number,Center,Patent Number,Serial Number,Expiration Date,Facility,Office,Address1,Address2,City State Zip,Contact Name,Contact Email,Contact Phone
health medicine and biotechnology,The present invention provides for a method of culturing cells and inducing the expression of at least one gene in the cell culture. The method provides for contacting the cell with a transcription factor decoy oligonucleotide sequence directed against a nucleotide sequence encoding a shear stress response element.,Production of functional proteins: balance of shear stress and gravity,MSC-22859-2,JSC,6946246,"09/532,001",2018-04-07 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"The present invention provides a method for production of functional proteins including hormones by renal cells in a three dimensional co-culture process responsive to shear stress using a rotating wall vessel. Natural mixture of renal cells expresses the enzyme 1-a-hydroxylase which can be used to generate the active form of vitamin D: 1,25-diOH vitamin D3. The fibroblast cultures and co-culture of renal cortical cells express the gene for erythropoietin and secrete erythropoietin into the culture supernatant. Other shear stress response genes are also modulated by shear stress, such as toxin receptors megalin and cubulin (gp280). Also provided is a method of treating in-need individual with the functional proteins produced in a three dimensional co-culture process responsive to shear stress using a rotating wall vessel.",Production of functional proteins: balance of shear stress and gravity,MSC-22859-3,JSC,7198947,"10/734,759",2018-04-07 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A method for the production of functional proteins including hormones by renal cells in a three dimensional culturing process responsive to shear stress uses a rotating wall vessel. Natural mixture of renal cells expresses the enzyme 1-.alpha.-hydroxylase which can be used to generate the active form of vitamin D: 1,25-diOH vitamin D.sub.3. The fibroblast cultures and co-culture of renal cortical cells express the gene for erythropoietin and secrete erythropoietin into the culture supernatant. Other shear stress response genes are also modulated by shear stress, such as toxin receptors megalin and cubulin (gp280). Also provided is a method of treating an in-need individual with the functional proteins produced in a three dimensional co-culture process responsive to shear stress using a rotating wall vessel.",Production of functional proteins: balance of shear stress and gravity,MSC-22859-5,JSC,7972821,"12/174,221",2018-04-07 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"Disclosed are microcapsules comprising a polymer shell enclosing two or more immiscible liquid phases in which a drug, or a prodrug and a drug activator are partitioned into separate phases, or prevented from diffusing out of the microcapsule by a liquid phase in which the drug is poorly soluble. Also disclosed are methods of using the microcapsules for in situ activation of drugs, where upon exposure to an appropriate energy source the internal phases mix and the drug is activated in situ.",In situ activation of microcapsules,MSC-22866-1,JSC,6099864,"09/79,741",2018-05-15 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"Microcapsules prepared by encapsulating an aqueous solution of a protein, drug or other bioactive substance inside a semi-permeable membrane by are disclosed. The microcapsules are formed by interfacial coacervation under conditions where the shear forces are limited to 0-100 dynes/cm.sup.2 at the interface. By placing the microcapsules in a high osmotic dewatering solution, the protein solution is gradually made saturated and then supersaturated, and the controlled nucleation and crystallization of the protein is achieved. The crystal-filled microcapsules prepared by this method can be conveniently harvested and stored while keeping the encapsulated crystals in essentially pristine condition due to the rugged, protective membrane. Because the membrane components themselves are x-ray transparent, large crystal-containing microcapsules can be individually selected, mounted in x-ray capillary tubes and subjected to high energy x-ray diffraction studies to determine the 3-D structure of the protein molecules. Certain embodiments of the microcapsules of the invention have composite polymeric outer membranes which are somewhat elastic, water insoluble, permeable only to water, salts, and low molecular weight molecules and are structurally stable in fluid shear forces typically encountered in the human vascular system.",Microencapsulated bioactive agents and method of making,MSC-22936-1,JSC,6387399,"09/79,766",2018-05-15 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"The invention is directed to microcapsules encapsulating an aqueous solution of a protein, drug or other bioactive substance inside a semi-permeable membrane. The microcapsules are formed by interfacial coacervation where shear forces are limited to 0-100 dynes per square centimeter. The resulting uniform microcapsules can then be subjected to dewatering in order to cause the internal solution to become supersaturated with the dissolved substance. This dewatering allows controlled nucleation and crystallization of the dissolved substance. The crystal-filled microcapsules can be stored, keeping the encapsulated crystals in good condition for further direct use in x-ray crystallography or as injectable formulations of the dissolved drug, protein or other bioactive substance.",Microencapsulated bioactive agents and method of making,MSC-22936-2,JSC,6558698,"09/733,391",2018-05-15 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"Microcapsules prepared by encapsulating an aqueous solution of a protein, drug or other bioactive substance inside a semi-permeable membrane by are disclosed. The microcapsules are formed by interfacial coacervation under conditions where the shear forces are limited to 0-100 dynes/cm.sup.2 at the interface. By placing the microcapsules in a high osmotic dewatering solution, the protein solution is gradually made saturated and then supersaturated, and the controlled nucleation and crystallization of the protein is achieved. The crystal-filled microcapsules prepared by this method can be conveniently harvested and stored while keeping the encapsulated crystals in essentially pristine condition due to the rugged, protective membrane. Because the membrane components themselves are x-ray transparent, large crystal-containing microcapsules can be individually selected, mounted in x-ray capillary tubes and subjected to high energy x-ray diffraction studies to determine the 3-D structure of the protein molecules. Certain embodiments of the microcapsules of the invention have composite polymeric outer membranes which are somewhat elastic, water insoluble, permeable only to water, salts, and low molecular weight molecules and are structurally stable in fluid shear forces typically encountered in the human vascular system.",Method for determining the three-dimensional structure of a protein,MSC-22936-3,JSC,6676964,"09/774,168",2018-05-15 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"Microcapsules prepared by encapsulating an aqueous solution of a protein, drug or other bioactive substance inside a semi-permeable membrane by are disclosed. The microcapsules are formed by interfacial coacervation under conditions where the shear forces are limited to 0-100 dynes/cm.sup.2 at the interface. By placing the microcapsules in a high osmotic dewatering solution, the protein solution is gradually made saturated and then supersaturated, and the controlled nucleation and crystallization of the protein is achieved. The crystal-filled microcapsules prepared by this method can be conveniently harvested and stored while keeping the encapsulated crystals in essentially pristine condition due to the rugged, protective membrane. Because the membrane components themselves are x-ray transparent, large crystal-containing microcapsules can be individually selected, mounted in x-ray capillary tubes and subjected to high energy x-ray diffraction studies to determine the 3-D structure of the protein molecules.Certain embodiments of the microcapsules of the invention have composite polymeric outer membranes which are somewhat elastic, water insoluble, permeable only to water, salts, and low molecular weight molecules and are structurally stable in fluid shear forces typically encountered in the human vascular system.",X-ray crystallography reagent,MSC-22936-4,JSC,6599449,"09/774,169",2018-05-15 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A microencapsulation and electrostatic processing (MEP) device is provided for forming microcapsules. In one embodiment, the device comprises a chamber having a filter which separates a first region in the chamber from a second region in the chamber. An aqueous solution is introduced into the first region through an inlet port, and a hydrocarbon/polymer solution is introduced into the second region through another inlet port. The filter acts to stabilize the interface and suppress mixing between the two immiscible solutions as they are being introduced into their respective regions. After the solutions have been introduced and have become quiescent, the interface is gently separated from the filter. At this point, spontaneous formation of microcapsules at the interface may begin to occur, or some fluid motion may be provided to induce microcapsule formation. In any case, the fluid shear force at the interface is limited to less than 100 dynes/cm.sup.2. This low-shear approach to microcapsule formation yields microcapsules with good sphericity and desirable size distribution. The MEP device is also capable of downstream processing of microcapsules, including rinsing, re-suspension in tertiary fluids, electrostatic deposition of ancillary coatings, and free-fluid electrophoretic separation of charged microcapsules.",Microencapsulation and electrostatic processing device,MSC-22937-1,JSC,6214300,"09/79,833",2018-05-15 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"Methods are provided for forming spherical multilamellar microcapsules having alternating hydrophilic and hydrophobic liquid layers, surrounded by flexible, semi-permeable hydrophobic or hydrophilic outer membranes which can be tailored specifically to control the diffusion rate. The methods of the invention rely on low shear mixing and liquid-liquid diffusion process and are particularly well suited for forming microcapsules containing both hydrophilic and hydrophobic drugs. These methods can be carried out in the absence of gravity and do not rely on density-driven phase separation, mechanical mixing or solvent evaporation phases. The methods include the process of forming, washing and filtering microcapsules. In addition, the methods contemplate coating microcapsules with ancillary coatings using an electrostatic field and free fluid electrophoresis of the microcapsules. The microcapsules produced by such methods are particularly useful in the delivery of pharmaceutical compositions.",Microencapsulation and electrostatic processing method,MSC-22938-1,JSC,6103271,"09/79,770",2018-05-15 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,Disclosed are microcapsules comprising a polymer shell enclosing one or more immiscible liquid phases in which a drug or drug precursor are contained in a liquid phase. The microparticles also contain magnetic particles that can be heated by application of an external magnetic field and thus heated to a predetermined Curie temperature. Heating of the particles melts the polymer shell and releases the drug without causing heating of surrounding tissues.,Externally triggered microcapsules,MSC-22939-4,JSC,7968117,"12/100,009",2029-07-09 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A method, simulation, and apparatus are provided that are highly suitable for treatment of benign prostatic hyperplasia (BPH). A catheter is disclosed that includes a small diameter disk loaded monopole antenna surrounded by fusion material having a high heat of fusion and a melting point preferably at or near body temperature. Microwaves from the antenna heat prostatic tissue to promote necrosing of the prostatic tissue that relieves the pressure of the prostatic tissue against the urethra as the body reabsorbs the necrosed or dead tissue. The fusion material keeps the urethra cool by means of the heat of fusion of the fusion material. This prevents damage to the urethra while the prostatic tissue is necrosed. A computer simulation is provided that can be used to predict the resulting temperature profile produced in the prostatic tissue. By changing the various control features of the catheter and method of applying microwave energy a temperature profile can be predicted and produced that is similar to the temperature profile desired for the particular patient.",Method for selective thermal ablation,MSC-23049-3,JSC,6592579,"09/746,542",2021-06-28 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A method, simulation, and apparatus are provided that are highly suitable for treatment of benign prostatic hyperplasia (BPH). A catheter is disclosed that includes a small diameter disk loaded monopole antenna surrounded by fusion material having a high heat of fusion and a melting point preferably at or near body temperature. Microwaves from the antenna heat prostatic tissue to promote necrosing of the prostatic tissue that relieves the pressure of the prostatic tissue against the urethra as the body reabsorbs the necrosed or dead tissue. The fusion material keeps the urethra cool by means of the heat of fusion of the fusion material. This prevents damage to the urethra while the prostatic tissue is necrosed. A computer simulation is provided that can be used to predict the resulting temperature profile produced in the prostatic tissue. By changing the various control features of the catheter and method of applying microwave energy a temperature profile can be predicted and produced that is similar to the temperature profile desired for the particular patient.",Computer program for microwave antenna,MSC-23049-4,JSC,6675050,"09/746,533",2021-05-07 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A portable, collapsible hyperbaric chamber. A toroidal inflatable skeleton provides initial structural support for the chamber, allowing the attendant and/or patient to enter the chamber. Oval hatches mate against bulkhead rings, and the hyperbaric chamber is pressurized. The hatches seal against an o-ring, and the internal pressure of the chamber provides the required pressure against the hatch to maintain an airtight seal. In the preferred embodiment, the hyperbaric chamber has an airlock to allow the attendant to enter and exit the patient chamber during treatment. Visual communication is provided through portholes in the patient and/or airlock chamber. Life monitoring and support systems are in communication with the interior of the hyperbaric chamber and/or airlock chamber through conduits and/or sealed feed-through connectors into the hyperbaric chamber.",Portable hyperbaric chamber,MSC-23076-1,JSC,6321746,"09/574,758",2020-05-17 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"Real time cardiac electrical data are received from a patient, manipulated to determine various useful aspects of the ECG signal, and displayed in real time in a useful form on a computer screen or monitor. The monitor displays the high frequency data from the QRS complex in units of microvolts, juxtaposed with a display of conventional ECG data in units of millivolts or microvolts. The high frequency data are analyzed for their root mean square (RMS) voltage values and the discrete RMS values and related parameters are displayed in real time. The high frequency data from the QRS complex are analyzed with imbedded algorithms to determine the presence or absence of reduced amplitude zones, referred to herein as &quot;RAZs&quot;. RAZs are displayed as &quot;go, no-go&quot; signals on the computer monitor. The RMS and related values of the high frequency components are displayed as time varying signals, and the presence or absence of RAZs may be similarly displayed over time.","Real-time, high frequency QRS electrocardiograph",MSC-23154-1,JSC,7113820,"09/906,013",2023-05-03 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"Real time cardiac electrical data are received from a patient, manipulated to determine various useful aspects of the ECG signal, and displayed in real time in a useful form on a computer screen or monitor. The monitor displays the high frequency data from the QRS complex in units of microvolts, juxtaposed with a display of conventional ECG data in units of millivolts or microvolts. The high frequency data are analyzed for their root mean square (RMS) voltage values and the discrete RMS values and related parameters are displayed in real time. The high frequency data from the QRS complex are analyzed with imbedded algorithms to determine the presence or absence of reduced amplitude zones, referred to herein as &quot;RAZs&quot;. RAZs are displayed as &quot;go, no-go&quot; signals on the computer monitor. The RMS and related values of the high frequency components are displayed as time varying signals, and the presence or absence of RAZs may be similarly displayed over time.","Real-time, high frequency QRS electrocardiograph with reduced amplitude zone detection",MSC-23154-2,JSC,7539535,"11/345,687",2027-07-13 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A device for analyzing microparticles is provided which includes a chamber with an inlet and an outlet for respectively introducing and dispensing a flowing fluid comprising microparticles, a light source for providing light through the chamber and a photometer for measuring the intensity of light transmitted through individual microparticles. The device further includes an imaging system for acquiring images of the fluid. In some cases, the device may be configured to identify and determine a quantity of the microparticles within the fluid. Consequently, a method for identifying and tracking microparticles in motion is contemplated herein. The method involves flowing a fluid comprising microparticles in laminar motion through a chamber, transmitting light through the fluid, measuring the intensities of the light transmitted through the microparticles, imaging the fluid a plurality of times and comparing at least some of the intensities of light between different images of the fluid.",Microparticle analysis system and method,MSC-23277-1,JSC,7295309,"10/734,753",2024-11-12 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"Cardiac electrical data are received from a patient, manipulated to determine various useful aspects of the ECG signal, and displayed and stored in a useful form using a computer. The computer monitor displays various useful information, and in particular graphically displays various permutations of reduced amplitude zones and kurtosis that increase the rapidity and accuracy of cardiac diagnoses. New criteria for reduced amplitude zones are defined that enhance the sensitivity and specificity for detecting cardiac abnormalities.","System for the diagnosis and monitoring of coronary artery disease, acute coronary syndromes, cardiomyopathy and other cardiac conditions",MSC-23449-1,JSC,7386340,"10/402,866",2023-05-03 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,An apparatus and method for exercising whereby the user is supported by various mechanisms in such as way that the user's shoulder area is free to translate and rotate; the user's pelvic area is free to translate and rotate; or in any combination.,Exercise apparatus,MSC-23594-1,JSC,7125370,"10/845,608",2025-02-22 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A microencapsulation apparatus is provided which is configured to form co-axial multi-lamellar microcapsules from materials discharged from first and second microsphere dispensers of the apparatus. A method of fabricating and processing microcapsules is also provided which includes forming distinct droplets comprising one or more materials and introducing the droplets directly into a solution bath to form a membrane around the droplets such that a plurality of microcapsules are formed. A microencapsulation system is provided which includes a microcapsule production unit, a fluidized passage for washing and harvesting microcapsules dispensed from the microcapsule production unit and a flow sensor for sizing and counting the microcapsules. In some embodiments, the microencapsulation system may further include a controller configured to simultaneously operate the microcapsule production unit, fluidized passage and flow sensor to process the microcapsules in a continuous manner.",Microencapsulation system and method,MSC-23659-1,JSC,7094045,"10/734,754",2024-06-09 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A microencapsulation apparatus is provided which is configured to form co-axial multi-lamellar microcapsules from materials discharged from first and second microsphere dispensers of the apparatus. A method of fabricating and processing microcapsules is also provided which includes forming distinct droplets comprising one or more materials and introducing the droplets directly into a solution bath to form a membrane around the droplets such that a plurality of microcapsules are formed. A microencapsulation system is provided which includes a microcapsule production unit, a fluidized passage for washing and harvesting microcapsules dispensed from the microcapsule production unit and a flow sensor for sizing and counting the microcapsules. In some embodiments, the microencapsulation system may further include a controller configured to simultaneously operate the microcapsule production unit, fluidized passage and flow sensor to process the microcapsules in a continuous manner.",Microencapsulation system and method,MSC-23659-2,JSC,7588703,"11/428,465",2027-03-14 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A miniature microwave antenna is disclosed which may be utilized for biomedical applications such as, for example, radiation induced hyperthermia through catheter systems. One feature of the antenna is that it possesses azimuthal directionality despite its small size. This directionality permits targeting of certain tissues while limiting thermal exposure of adjacent tissue. One embodiment has an outer diameter of about 0.095'' (2.4 mm) but the design permits for smaller diameters.",Directional microwave applicator and methods,MSC-23781-1,JSC,7410485,"11/40,613",2026-10-16 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"The present invention relates to an exercise device, which includes a vacuum cylinder and a flywheel. The flywheel provides an inertial component to the load, which is particularly well suited for use in space as it simulates exercising under normal gravity conditions. Also, the present invention relates to an exercise device, which has a vacuum cylinder and a load adjusting armbase assembly.",Advanced resistive exercise device,MSC-23805-1,JSC,7462141,"11/31,942",2027-03-11 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A method for fabricating a micro-organ device comprises providing a microscale support having one or more microfluidic channels and one or more micro-chambers for housing a micro-organ and printing a micro-organ on the microscale support using a cell suspension in a syringe controlled by a computer-aided tissue engineering system, wherein the cell suspension comprises cells suspended in a solution containing a material that functions as a three-dimensional scaffold. The printing is performed with the computer-aided tissue engineering system according to a particular pattern. The micro-organ device comprises at least one micro-chamber each housing a micro-organ; and at least one microfluidic channel connected to the micro-chamber, wherein the micro-organ comprises cells arranged in a configuration that includes microscale spacing between portions of the cells to facilitate diffusion exchange between the cells and a medium supplied from the at least one microfluidic channel.",Micro-organ device,MSC-23988-1,JSC,8343740,"12/58,227",2031-10-31 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A method for fabricating a micro-organ device comprises providing a microscale support having one or more microfluidic channels and one or more micro-chambers for housing a micro-organ and printing a micro-organ on the microscale support using a cell suspension in a syringe controlled by a computer-aided tissue engineering system, wherein the cell suspension comprises cells suspended in a solution containing a material that functions as a three-dimensional scaffold. The printing is performed with the computer-aided tissue engineering system according to a particular pattern. The micro-organ device comprises at least one micro-chamber each housing a micro-organ; and at least one microfluidic channel connected to the micro-chamber, wherein the micro-organ comprises cells arranged in a configuration that includes microscale spacing between portions of the cells to facilitate diffusion exchange between the cells and a medium supplied from the at least one microfluidic channel.",Micro-organ device,MSC-23988-2,JSC,8580546,13/688982,2028-03-28 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"The present disclosure provides ex vivo-derived mineralized three-dimensional bone constructs. The bone constructs are obtained by culturing osteoblasts and osteoclast precursors under randomized gravity vector conditions. Preferably, the randomized gravity vector conditions are obtained using a low shear stress rotating bioreactor, such as a High Aspect Ratio Vessel (HARV) culture system. The bone constructs of the disclosure have utility in physiological studies of bone formation and bone function, in drug discovery, and in orthopedics.",Mineralized three-dimensional bone constructs,MSC-24000-1,JSC,8076136,/0,2021-10-31 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"Three-dimensional human broncho-epithelial tissue-like assemblies (TLAs) are produced in a rotating wall vessel (RWV) with microcarriers by coculturing mesenchymal bronchial-tracheal cells (BTC) and bronchial epithelium cells (BEC). These TLAs display structural characteristics and express markers of in vivo respiratory epithelia. TLAs are useful for screening compounds active in lung tissues such as antiviral compounds, cystic fibrosis treatments, allergens, and cytotoxic compounds.",Engineered human broncho-epithelial tissue-like assemblies,MSC-24164-1,JSC,8338114,"11/789,117",2030-05-04 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A filtering apparatus comprises a microporous membrane and an actuator. The membrane is positioned to traverse across the hollow interior of a conduit used for the transport of molecules in bulk. In one example, the pores of the membrane comprise a plurality of open-ended carbon nanotubes. The actuator comprises a transducing material such as a polyvinyledene fluoride film that is operatively positioned in contact with the membrane and is capable of propagating acoustic vibration onto the membrane at a particular frequency so as to hasten the movement of the molecules through the membrane. Similarly, a method of filtering water comprises the steps of: (a) sifting molecules of water through the membrane, the pores of the membrane comprising a plurality of carbon nanotubes; and (b) propagating acoustic vibration onto the microporous membrane at a libration frequency of ice so as to hasten movement of the water molecules within the carbon nanotubes.",Filtering apparatus and method of use,MSC-24180-1,JSC,7935259,"12/167,332",2029-09-14 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"Methods and apparatus for joining biological tissue together are provided. In at least one specific embodiment, a method for joining biological tissue together can include applying a biological solder on a wound. A barrier layer can be disposed on the biological solder. An antenna can be located in proximate spatial relationship to the barrier layer. An impedance of the antenna can be matched to an impedance of the wound. Microwaves from a signal generator can be transmitted through the antenna to weld two or more biological tissue pieces of the wound together. A power of the microwaves can be adjusted by a control circuit disposed between the antenna and the signal generator. The heating profile within the tissue may be adjusted and controlled by the placement of metallic microspheres in or around the wound.",Methods and apparatus for microwave tissue welding for wound closure,MSC-24238-1,JSC,8388613,12/757657,2031-11-17 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A method for making a tissue includes seeding cells at a selected concentration on a support to form a cell spot, incubating the cells to allow the cells to partially attach, rinsing the cells to remove any unattached cells, adding culture medium to enable the cells to proliferate at a periphery of the cell spot and to differentiate toward a center of the cell spot, and further incubating the cells to form the tissue. The cells may be C2C12 cells or other subclones of the C2 cell line, H9c2(2-1) cells, L6 cells, L8 cells, QM7 cells, Sol8 cells, G-7 cells, G-8 cells, other myoblast cells, cells from other tissues, or stem cells. The selected concentration is in a range from about 1.times.10.sup.5 cells/ml to about 1.times.10.sup.6 cells/ml. The tissue formed may be a skeletal muscle tissue, a cardiac muscle tissue, nerve tissue, or a bone tissue.",High-density spot seeding for tissue model formation,MSC-24314-1,JSC,8735116,12/880602,2031-06-18 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,,HIGH-DENSITY SPOT SEEDING FOR TISSUE MODEL FORMATION,MSC-24314-2,JSC,,14/282563,2030-09-13 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,A method for determining postural stability of a person can include acquiring a plurality of pressure data points over a period of time from at least one pressure sensor. The method can also include the step of identifying a postural state for each pressure data point to generate a plurality of postural states. The method can include the step of determining a postural state of the person at a point in time based on at least the plurality of postural states.,Determining postural stability,MSC-24387-1,JSC,8011229,"12/323,912",2028-11-26 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
health medicine and biotechnology,"A method for making a microporous membrane comprises the steps of: providing a plurality of carbon nanotubes having a hollow interior diameter of 20 Angstroms or less; sonicating the plurality of carbon nanotubes utilizing a solution comprising deionized, distilled water and a surfactant that coats at least one of the plurality of carbon nanotubes; collecting the coated carbon nanotubes; forming a matrix that supports the plurality of carbon nanotubes; embedding the coated carbon nanotubes into the matrix; rinsing the coated nanotubes to remove at least a portion of the surfactant; curing the nanotube-matrix assembly; and cutting the nanotube-matrix assembly to a particular thickness so as to open the ends of the embedded nanotubes. The hollow interiors of the plurality of embedded carbon nanotubes comprise the pores of the microporous membrane.",Method for making a microporous membrane,MSC-24508-1,JSC,8343403,"12/174,380",2030-12-31 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
